City,Time,O3,PM2.5,PM10,CO,SO2,NO2,Temp,RHum,WSpd,O3_P1,O3_P4,O3_P8,O3_P24,PM2.5_P1,PM2.5_P4,PM2.5_P8,PM2.5_P24
Denver,2021-04-05 17:00:00+00:00,0.045,4.9,33.2,0.19,0.0,0.006,18.4,17.0,24.1,0.042,0.054,0.017,0.042,4.4,3.7,5.6,8.8
Denver,2021-04-05 18:00:00+00:00,0.042,4.4,23.0,0.2,0.0,0.007,21.5,13.0,20.5,0.047,0.052,0.022,0.048,4.050000000000001,4.0,6.1,10.3
Denver,2021-04-05 19:00:00+00:00,0.047,4.050000000000001,19.55,0.19,0.0,0.005,22.7,11.0,24.1,0.052,0.055,0.027,0.049,3.7,4.1,6.6,11.7
Denver,2021-04-05 20:00:00+00:00,0.052,3.7,16.1,0.18,0.0,0.003,23.2,11.0,24.1,0.054,0.044,0.011,0.047,3.7,4.7,7.7,11.9
Denver,2021-04-05 21:00:00+00:00,0.054,3.7,16.5,0.19,0.0,0.004333333333333333,24.1,10.0,13.0,0.052,0.017,0.0215,0.039,4.0,5.6,7.0,14.5
Denver,2021-04-05 22:00:00+00:00,0.052,4.0,18.7,0.22,0.0,0.005666666666666667,25.0,9.0,0.0,0.055,0.022,0.032,0.042,4.1,6.1,6.3,7.2
Denver,2021-04-05 23:00:00+00:00,0.055,4.1,21.0,0.22,0.0,0.007,25.0,8.0,9.4,0.044,0.027,0.038,0.044,4.7,6.6,6.8,4.4
Denver,2021-04-06 00:00:00+00:00,0.044,4.7,27.1,0.22,0.0,0.019,23.5,12.0,13.0,0.017,0.011,0.040499999999999994,0.049,5.6,7.7,7.0,5.1
Denver,2021-04-06 01:00:00+00:00,0.017,5.6,33.4,0.31,0.0,0.046,19.5,16.0,13.0,0.022,0.0215,0.043,0.05,6.1,7.0,7.2,4.8
Denver,2021-04-06 02:00:00+00:00,0.022,6.1,31.299999999999997,0.325,0.0,0.0345,16.2,19.0,13.0,0.027,0.032,0.038,0.047,6.6,6.3,7.6,6.1
Denver,2021-04-06 03:00:00+00:00,0.027,6.6,29.2,0.34,0.0,0.023,16.9,17.0,0.0,0.011,0.038,0.034,0.044,7.7,6.8,7.5,7.4
Denver,2021-04-06 04:00:00+00:00,0.011,7.7,32.2,0.5,0.0,0.036,12.6,26.0,9.4,0.0215,0.040499999999999994,0.029,0.036,7.0,7.0,7.9,6.050000000000001
Denver,2021-04-06 05:00:00+00:00,0.0215,7.0,35.6,0.345,0.0,0.023,12.1,26.0,9.4,0.032,0.043,0.024,0.028,6.3,7.2,8.3,4.7
Denver,2021-04-06 06:00:00+00:00,0.032,6.3,39.0,0.19,0.0,0.01,9.7,32.0,16.6,0.038,0.038,0.034,0.027,6.8,7.6,7.2,5.5
Denver,2021-04-06 07:00:00+00:00,0.038,6.8,47.6,0.16,0.0,0.003,10.1,34.0,20.5,0.040499999999999994,0.034,0.036500000000000005,0.014,7.0,7.5,7.65,6.0
Denver,2021-04-06 08:00:00+00:00,0.040499999999999994,7.0,43.5,0.16999999999999998,0.0,0.003,8.1,46.0,16.6,0.043,0.029,0.039,0.02,7.2,7.9,8.1,6.8
Denver,2021-04-06 09:00:00+00:00,0.043,7.2,39.4,0.18,0.0,0.003,6.9,51.0,14.8,0.038,0.024,0.042,0.026,7.6,8.3,8.8,7.6
Denver,2021-04-06 10:00:00+00:00,0.038,7.6,51.0,0.13,0.0,0.006,6.4,54.0,18.4,0.034,0.034,0.048,0.022,7.5,7.2,10.3,9.4
Denver,2021-04-06 11:00:00+00:00,0.034,7.5,54.6,0.15,0.0,0.009,5.0,60.0,16.6,0.029,0.036500000000000005,0.049,0.016,7.9,7.65,11.7,10.2
Denver,2021-04-06 12:00:00+00:00,0.029,7.9,64.1,0.2,0.0,0.013499999999999998,3.3,67.0,13.0,0.024,0.039,0.047,0.015,8.3,8.1,11.9,7.8
Denver,2021-04-06 13:00:00+00:00,0.024,8.3,73.6,0.25,0.0,0.018,3.0,69.0,11.2,0.034,0.042,0.039,0.015,7.2,8.8,14.5,8.7
Denver,2021-04-06 14:00:00+00:00,0.034,7.2,57.8,0.19,0.0,0.008,5.4,65.0,14.8,0.036500000000000005,0.048,0.042,0.019,7.65,10.3,7.2,9.4
Denver,2021-04-06 15:00:00+00:00,0.036500000000000005,7.65,55.45,0.19,0.0,0.007,6.5,60.0,7.6,0.039,0.049,0.044,0.022,8.1,11.7,4.4,10.0
Denver,2021-04-06 16:00:00+00:00,0.039,8.1,53.1,0.19,0.0,0.006,8.0,55.0,7.6,0.042,0.047,0.049,0.024,8.8,11.9,5.1,10.4
Denver,2021-04-06 17:00:00+00:00,0.042,8.8,50.1,0.21,0.0,0.005,9.4,51.0,11.2,0.048,0.039,0.05,0.03,10.3,14.5,4.8,8.1
Denver,2021-04-06 18:00:00+00:00,0.048,10.3,53.9,0.23,0.0,0.004,11.0,47.0,18.4,0.049,0.042,0.047,0.035,11.7,7.2,6.1,6.8
Denver,2021-04-06 19:00:00+00:00,0.049,11.7,64.8,0.26,0.0,0.005,13.2,41.0,18.4,0.047,0.044,0.044,0.04,11.9,4.4,7.4,6.449999999999999
Denver,2021-04-06 20:00:00+00:00,0.047,11.9,70.5,0.25,0.0,0.006,13.9,40.0,24.1,0.039,0.049,0.036,0.045,14.5,5.1,6.050000000000001,6.1
Denver,2021-04-06 21:00:00+00:00,0.039,14.5,137.0,0.21,0.0,0.01,11.9,43.0,31.7,0.042,0.05,0.028,0.046,7.2,4.8,4.7,5.0
Denver,2021-04-06 22:00:00+00:00,0.042,7.2,74.45,0.21,0.0,0.006,8.7,49.0,51.8,0.044,0.047,0.027,0.046,4.4,6.1,5.5,2.6
Denver,2021-04-06 23:00:00+00:00,0.044,4.4,11.9,0.23,0.0,0.009,4.6,88.0,51.8,0.049,0.044,0.014,0.049,5.1,7.4,6.0,3.3
Denver,2021-04-07 00:00:00+00:00,0.049,5.1,18.0,0.21,0.0,0.011,0.4,99.0,18.4,0.05,0.036,0.02,0.048,4.8,6.050000000000001,6.8,3.55
